央视IPV4,#genre#
法治天地,http://220.176.159.112:8888/udp/239.252.219.56:5140
游戏风云,http://220.176.159.112:8888/udp/239.252.219.60:5140
炫动卡通,http://220.176.159.112:8888/udp/239.252.219.43:5140
爱上4K,http://220.176.159.112:8888/udp/239.252.220.212:5140
爱体育,http://220.176.159.112:8888/udp/239.252.220.141:5140
爱体育HD,http://220.176.159.112:8888/udp/239.252.220.211:5140
爱大剧,http://220.176.159.112:8888/udp/239.252.220.143:5140
爱生活,http://220.176.159.112:8888/udp/239.252.220.89:5140
爱电影,http://220.176.159.112:8888/udp/239.252.220.142:5140
爱综艺,http://220.176.159.112:8888/udp/239.252.220.140:5140
环球奇观,http://220.176.159.112:8888/udp/239.252.220.135:5140
环球旅游,http://220.176.159.112:8888/udp/239.252.220.218:5140
生态环境,http://220.176.159.112:8888/udp/239.252.220.216:5140
生活时尚,http://220.176.159.112:8888/udp/239.252.219.54:5140
百姓健康,http://220.176.159.112:8888/udp/239.252.219.146:5140
精选,http://220.176.159.112:8888/udp/239.252.219.161:5140
纪实人文HD,http://220.176.159.112:8888/udp/239.252.219.227:5140
经典电影,http://220.176.159.112:8888/udp/239.252.220.139:5140
芒果跨年云监工,http://220.176.159.112:8888/udp/239.252.219.187:5140
茶HD,http://220.176.159.112:8888/udp/239.252.220.160:5140
解密,http://220.176.159.112:8888/udp/239.252.220.209:5140
证券服务,http://220.176.159.112:8888/udp/239.252.219.144:5140
财富天下,http://220.176.159.112:8888/udp/239.252.220.240:5140
足球,http://220.176.159.112:8888/udp/239.252.220.205:5140
车迷,http://220.176.159.112:8888/udp/239.252.220.215:5140
金色频道,http://220.176.159.112:8888/udp/239.252.219.63:5140
金鹰卡通HD,http://220.176.159.112:8888/udp/239.252.219.69:5140
金鹰纪实HD,http://220.176.159.112:8888/udp/239.252.220.155:5140
鉴赏,http://220.176.159.112:8888/udp/239.252.219.166:5140
陶瓷HD,http://220.176.159.112:8888/udp/239.252.220.243:5140
